Date,Open,High,Low,Close,Adj Close,Volume
"Jan 29, 2018",262.83,263.25,261.48,261.54,229.79,5145000
"Jan 26, 2018",261.33,263.37,260.97,263.36,231.39,2857300
"Jan 25, 2018",261.17,261.22,259.53,260.33,228.73,3585600
"Jan 24, 2018",261.03,261.63,259.02,260.21,228.62,2935500
"Jan 23, 2018",259.84,260.63,259.51,260.34,228.73,2161100
"Jan 22, 2018",257.45,259.78,257.45,259.75,228.22,1607800
"Jan 19, 2018",257.15,257.69,256.53,257.68,226.4,2541200
"Jan 18, 2018",256.84,257.27,256.02,256.59,225.44,3154200
"Jan 17, 2018",255.5,257.35,254.74,256.94,225.75,1867700
"Jan 16, 2018",256.79,257.4,253.8,254.48,223.59,3719600
"Jan 12, 2018",254.03,255.56,253.9,255.41,224.4,2054900
"Jan 11, 2018",252.47,253.73,252.33,253.73,222.93,2280300
"Jan 10, 2018",251.51,252.17,250.82,251.87,221.29,1953600
"Jan 9, 2018",252.18,252.94,251.91,252.3,221.67,2129800
"Jan 8, 2018",251.16,251.88,250.87,251.77,221.21,2476200
"Jan 5, 2018",250.46,251.4,249.95,251.25,220.75,2190200
"Jan 4, 2018",249.27,250.12,249.17,249.65,219.34,2918000
"Jan 3, 2018",247.24,248.7,247.18,248.56,218.39,2917700
"Jan 2, 2018",246.15,247.09,245.74,247.09,217.09,2784300
"Dec 29, 2017",246.76,246.77,245.03,245.29,215.51,2326700
"Dec 28, 2017",246.13,246.21,245.77,246.14,216.26,2346700
"Dec 27, 2017",245.71,246.02,245.38,245.68,215.85,1379100
"Dec 26, 2017",1.184 Dividend,1.184 Dividend,1.184 Dividend,1.184 Dividend,1.184 Dividend,1.184 Dividend
"Dec 26, 2017",245.66,245.71,245.26,245.54,215.73,1492300
"Dec 22, 2017",247.09,247.13,246.44,247.01,215.98,1888500
"Dec 21, 2017",247.22,247.81,246.82,247.06,216.03,2262400
"Dec 20, 2017",247.72,247.77,246.27,246.56,215.59,2570000
"Dec 19, 2017",247.92,247.95,246.63,246.75,215.76,3170300
"Dec 18, 2017",247.52,248.01,247.45,247.65,216.54,2089600
"Dec 15, 2017",245.15,246.55,245.07,246.12,215.2,3170800
"Dec 14, 2017",245.4,245.48,244,244.07,213.41,1932900
"Dec 13, 2017",245.36,245.8,244.97,245.04,214.26,1808300
"Dec 12, 2017",244.94,245.58,244.69,245.1,214.31,1855000
"Dec 11, 2017",244.02,244.71,243.9,244.68,213.95,2513300
"Dec 8, 2017",243.45,243.92,243.2,243.89,213.25,1685700
"Dec 7, 2017",241.69,242.91,241.55,242.57,212.1,2670000
"Dec 6, 2017",241.73,242.26,241.33,241.77,211.4,1204800
"Dec 5, 2017",242.91,243.58,241.63,241.78,211.41,1886300
"Dec 4, 2017",244.7,245.07,242.59,242.64,212.16,2162000
"Dec 1, 2017",243.25,243.71,239.52,242.9,212.39,3775600
"Nov 30, 2017",242.3,244.4,242.23,243.35,212.78,5451700
"Nov 29, 2017",241.6,242.18,240.84,241.33,211.02,2442100
"Nov 28, 2017",239.59,241.48,239.44,241.42,211.1,1800500
"Nov 27, 2017",239.19,239.53,238.83,239.05,209.02,2654000
"Nov 24, 2017",239.12,239.28,238.99,239.12,209.08,1219300
"Nov 22, 2017",238.86,238.95,238.44,238.62,208.65,2143500
"Nov 21, 2017",238.06,239,238,238.79,208.8,1151500
"Nov 20, 2017",237.12,237.47,236.86,237.21,207.41,1420400
"Nov 17, 2017",237.17,237.39,236.79,236.9,207.14,1370500
"Nov 16, 2017",236.52,237.93,236.5,237.54,207.7,1072300
"Nov 15, 2017",235.74,236.24,234.82,235.53,205.94,2436200
"Nov 14, 2017",236.44,236.85,235.64,236.74,207,2763300
"Nov 13, 2017",236.33,237.52,236.31,237.32,207.51,900000
"Nov 10, 2017",236.72,237.18,236.4,237.04,207.27,1019000
"Nov 9, 2017",236.73,237.34,235.48,237.18,207.39,1644100
"Nov 8, 2017",237.41,238.12,237.15,238.04,208.14,4711000
"Nov 7, 2017",237.89,238.22,237.11,237.69,207.83,1502700
"Nov 6, 2017",237.24,237.89,237.21,237.79,207.92,1688600
"Nov 3, 2017",236.83,237.44,236.34,237.43,207.61,1934200
"Nov 2, 2017",236.45,236.77,235.32,236.64,206.92,1908100
"Nov 1, 2017",237.03,237.39,236.13,236.54,206.83,2078300
"Oct 31, 2017",236.26,236.47,235.9,236.13,206.47,1357600
"Oct 30, 2017",235.63,236.62,235.53,235.86,206.23,1292500
"Oct 27, 2017",235.63,236.88,235.3,236.72,206.99,2825000
"Oct 26, 2017",235.1,235.41,234.67,234.72,205.24,3298200
"Oct 25, 2017",235.3,235.41,233.29,234.5,205.04,1943400
"Oct 24, 2017",235.68,235.89,235.27,235.63,206.03,1818400
"Oct 23, 2017",236.49,236.49,235.15,235.3,205.74,1101000
"Oct 20, 2017",235.8,236.19,235.53,236.16,206.5,1296300
"Oct 19, 2017",234.03,234.99,233.62,234.99,205.47,1653600
"Oct 18, 2017",235.06,235.09,234.68,234.87,205.37,1527800
"Oct 17, 2017",234.47,234.69,234.22,234.66,205.18,1332100
"Oct 16, 2017",234.41,234.69,234.04,234.51,205.05,1767300
"Oct 13, 2017",234.37,234.47,234.02,234.14,204.73,1067900
"Oct 12, 2017",233.87,234.27,233.64,233.88,204.5,1079400
"Oct 11, 2017",233.74,234.24,233.6,234.24,204.82,1036400
"Oct 10, 2017",233.84,234.25,233.29,233.86,204.48,1027600
"Oct 9, 2017",233.92,233.93,232.98,233.27,203.97,768300
"Oct 6, 2017",233.46,233.7,233.18,233.68,204.33,1101500
"Oct 5, 2017",232.86,233.93,232.76,233.9,204.52,1471800
"Oct 4, 2017",232.12,232.78,231.98,232.52,203.31,1006700
"Oct 3, 2017",231.9,232.25,231.67,232.2,203.03,1316400
"Oct 2, 2017",231,231.73,230.91,231.73,202.62,1960600
"Sep 29, 2017",229.91,230.83,229.74,230.76,201.77,1726200
"Sep 28, 2017",229.36,230.01,229.29,229.94,201.06,1084700
"Sep 27, 2017",229.53,230.06,228.6,229.67,200.82,2103600
"Sep 26, 2017",229.09,229.32,228.53,228.78,200.04,2335000
"Sep 25, 2017",228.82,229.2,227.86,228.7,199.97,1523300
"Sep 22, 2017",228.75,229.26,228.72,229.04,200.27,1599200
"Sep 21, 2017",229.54,229.58,228.87,229.07,200.3,1899900
"Sep 20, 2017",1.176 Dividend,1.176 Dividend,1.176 Dividend,1.176 Dividend,1.176 Dividend,1.176 Dividend
"Sep 20, 2017",229.68,229.78,228.63,229.72,200.86,1850500
"Sep 19, 2017",230.79,230.85,230.44,230.77,200.75,1302400
"Sep 18, 2017",230.46,230.9,230.12,230.49,200.51,1325200
"Sep 15, 2017",229.62,230.13,229.49,230.09,200.16,1419700
"Sep 14, 2017",229.47,229.94,229.31,229.77,199.88,1857300
"Sep 13, 2017",229.37,229.85,229.28,229.85,199.95,1155800
"Sep 12, 2017",229.32,229.72,229.13,229.71,199.83,1535000
"Sep 11, 2017",227.85,229.01,227.84,228.87,199.1,2007200
"Sep 8, 2017",226.45,226.98,226.25,226.4,196.95,1896900
"Sep 7, 2017",227.13,227.13,226.34,226.75,197.26,1620300
"Sep 6, 2017",226.76,227.14,226.19,226.8,197.3,1523300
"Sep 5, 2017",227.1,227.35,224.98,226.01,196.61,2222300
"Sep 1, 2017",227.76,228.11,227.51,227.69,198.08,1393700
"Aug 31, 2017",226.63,227.58,226.55,227.3,197.74,2202700
"Aug 30, 2017",224.86,226.24,224.69,225.97,196.58,1377800
"Aug 29, 2017",223.25,225.16,223.15,224.85,195.6,1397400
"Aug 28, 2017",225.16,225.21,224.19,224.68,195.46,801000
"Aug 25, 2017",224.95,225.58,224.47,224.6,195.39,1220800
"Aug 24, 2017",225.04,225.17,223.88,224.11,194.96,1345100
"Aug 23, 2017",224.46,225.06,224.26,224.63,195.41,1462900
"Aug 22, 2017",223.72,225.6,223.69,225.4,196.08,1455700
"Aug 21, 2017",222.85,223.36,222.12,223.14,194.12,1281300
"Aug 18, 2017",223.09,224.27,222.45,222.87,193.88,2691100
"Aug 17, 2017",226.19,226.5,223.28,223.28,194.24,3396200
"Aug 16, 2017",226.95,227.39,226.37,226.81,197.31,1531400
"Aug 15, 2017",226.84,226.87,226.1,226.45,197,1309700
"Aug 14, 2017",225.56,226.67,225.56,226.43,196.98,2201900
"Aug 11, 2017",224.13,224.82,223.87,224.23,195.07,1584300
